[DRY-RUN] spring-boot-actuator: chapters=9, changed=9
[DRY-RUN] spring-core-aop: chapters=19, changed=19
[DRY-RUN] spring-core-aop-weaving: chapters=12, changed=12
[DRY-RUN] spring-boot-async-scheduling: chapters=12, changed=12
[DRY-RUN] spring-boot-autoconfiguration: chapters=8, changed=8
[DRY-RUN] spring-boot-basics: chapters=10, changed=10
[DRY-RUN] spring-core-beans: chapters=23, changed=23
[DRY-RUN] spring-boot-business-case: chapters=9, changed=9
[DRY-RUN] spring-boot-cache: chapters=13, changed=13
[DRY-RUN] spring-boot-data-jpa: chapters=15, changed=15
[DRY-RUN] spring-core-events: chapters=14, changed=14
[DRY-RUN] spring-boot-logging: chapters=8, changed=8
[DRY-RUN] spring-boot-observability: chapters=8, changed=8
[DRY-RUN] spring-core-profiles: chapters=9, changed=9
[DRY-RUN] spring-core-resources: chapters=14, changed=14
[DRY-RUN] spring-boot-security: chapters=13, changed=13
[DRY-RUN] spring-core-spel: chapters=9, changed=9
[DRY-RUN] spring-boot-testing: chapters=9, changed=9
[DRY-RUN] spring-core-tx: chapters=15, changed=15
[DRY-RUN] spring-core-validation: chapters=14, changed=14
[DRY-RUN] spring-boot-web-client: chapters=13, changed=13
[DRY-RUN] spring-boot-web-mvc: chapters=25, changed=25
[DONE] modules=22 total_chapters=281 changed=281 dry_run=True
