[APPLIED] spring-boot-actuator: chapters=9, changed=2
[APPLIED] spring-core-aop: chapters=19, changed=2
[APPLIED] spring-core-aop-weaving: chapters=12, changed=2
[APPLIED] spring-boot-async-scheduling: chapters=12, changed=1
[APPLIED] spring-boot-autoconfiguration: chapters=8, changed=0
[APPLIED] spring-boot-basics: chapters=10, changed=2
[APPLIED] spring-core-beans: chapters=23, changed=2
[APPLIED] spring-boot-business-case: chapters=9, changed=2
[APPLIED] spring-boot-cache: chapters=13, changed=2
[APPLIED] spring-boot-data-jpa: chapters=15, changed=2
[APPLIED] spring-core-events: chapters=14, changed=1
[APPLIED] spring-boot-logging: chapters=8, changed=0
[APPLIED] spring-boot-observability: chapters=8, changed=0
[APPLIED] spring-core-profiles: chapters=9, changed=2
[APPLIED] spring-core-resources: chapters=14, changed=2
[APPLIED] spring-boot-security: chapters=13, changed=2
[APPLIED] spring-core-spel: chapters=9, changed=1
[APPLIED] spring-boot-testing: chapters=9, changed=2
[APPLIED] spring-core-tx: chapters=15, changed=2
[APPLIED] spring-core-validation: chapters=14, changed=2
[APPLIED] spring-boot-web-client: chapters=13, changed=2
[APPLIED] spring-boot-web-mvc: chapters=25, changed=2
[DONE] modules=22 total_chapters=281 changed=35 dry_run=False
