[APPLIED] spring-boot-actuator: chapters=7, changed=2
[APPLIED] spring-core-aop: chapters=17, changed=2
[APPLIED] spring-core-aop-weaving: chapters=10, changed=2
[APPLIED] spring-boot-async-scheduling: chapters=11, changed=2
[APPLIED] spring-boot-autoconfiguration: chapters=8, changed=0
[APPLIED] spring-boot-basics: chapters=8, changed=2
[APPLIED] spring-core-beans: chapters=21, changed=2
[APPLIED] spring-boot-business-case: chapters=7, changed=2
[APPLIED] spring-boot-cache: chapters=11, changed=2
[APPLIED] spring-boot-data-jpa: chapters=13, changed=2
[APPLIED] spring-core-events: chapters=13, changed=2
[APPLIED] spring-boot-logging: chapters=8, changed=0
[APPLIED] spring-boot-observability: chapters=8, changed=0
[APPLIED] spring-core-profiles: chapters=7, changed=2
[APPLIED] spring-core-resources: chapters=12, changed=2
[APPLIED] spring-boot-security: chapters=11, changed=2
[APPLIED] spring-core-spel: chapters=8, changed=2
[APPLIED] spring-boot-testing: chapters=7, changed=2
[APPLIED] spring-core-tx: chapters=13, changed=2
[APPLIED] spring-core-validation: chapters=12, changed=2
[APPLIED] spring-boot-web-client: chapters=11, changed=2
[APPLIED] spring-boot-web-mvc: chapters=23, changed=2
[DONE] modules=22 total_chapters=246 changed=38 dry_run=False
